nidn,nama,jenis_kelamin,tanggal_lahir,agama,dosen_prodi,status,alamat
1676790550,"Melodie Parker, S.T., M.Cs",0,2003-01-16,3,603125,2,"P.O. Box 731, 6282 At, Street"
1929046700,"Vaughan Mcintosh, S.T., M.Cs",1,2003-04-13,4,603125,2,534-6442 Dui. Av.
1255608422,"Kelly England, S.T., M.Cs",0,2000-04-09,1,603125,2,"791-1129 Eu, St."
2468007813,"Avye Lindsay, PHD",0,2002-08-25,2,603124,1,Ap #271-2030 Vestibulum. Rd.
2483288894,"Zoe Goodwin, S.T., M.Cs",0,2001-10-12,1,603124,2,377-326 Mollis Avenue
1783194272,"Lillith French, MIT",0,2003-05-14,3,603124,2,Ap #773-4541 Praesent Rd.
1469344842,"Nerea Hays, S.Kom., M.T",0,2001-12-16,4,603124,2,513-664 Enim Av.
1742568576,"Lavinia Johns, S.Kom., M.Kom",0,2003-05-23,3,603125,2,Ap #603-8725 Luctus. Road
2812287479,"Arsenio Compton, S.T., M.Cs",0,2003-09-22,3,603124,2,"680-5721 Egestas, Road"
2867947716,"Tatiana Alexander, MIT",0,2000-01-13,1,603125,2,Ap #650-8342 Euismod St.
2079701180,"Geoffrey Carroll, PHD",1,2001-07-06,2,603124,3,336-2261 Arcu. Road
1372457870,"Rajah Perkins, S.Kom., M.Cs",1,2000-05-17,2,603125,3,"Ap #520-8486 Elit, Road"
1449152550,"Jaime Casey, S.Kom., M.Cs",0,2001-09-01,2,603124,2,"2354 Nec, Av."
1232860358,"Cecilia Finch, S.Kom., M.T",0,2000-09-30,2,603124,2,Ap #584-1695 Posuere Road
1299359424,"Rhea Kline, S.Kom., M.Kom",1,2000-06-16,4,603124,3,"P.O. Box 450, 7754 Penatibus Ave"
2642278728,"Kaye Sullivan, PHD",0,2002-08-10,2,603124,2,9926 Nulla Av.
2665520735,"Portia Sears, PHD",0,2001-07-31,1,603124,2,"P.O. Box 222, 812 Integer St."
2767410101,"Yuli Alford, S.T., M.Cs",1,2003-11-23,4,603124,1,850-8116 Rhoncus. Ave
1234302625,"Germane Munoz, PHD",0,2002-07-21,1,603124,2,Ap #265-3169 Iaculis Avenue
2647446044,"Marny Finley, MIT",1,2002-01-04,5,603125,2,864-4277 Magnis Road
1471258978,"Carly Riley, PHD",0,2001-09-21,3,603124,1,Ap #354-4204 Euismod Rd.
1542290807,"Oliver Mcguire, S.Kom., M.T",1,2000-10-02,3,603124,3,"P.O. Box 843, 8626 Duis Av."
1661697562,"Emery Wilkinson, S.T., M.Cs",1,2001-12-06,4,603124,2,4732 Ac Rd.
2340446978,"Colton Maldonado, MIT",1,2001-11-26,4,603124,2,Ap #832-365 Leo. St.
2502025939,"Reece Keller, S.Kom., M.Cs",0,2001-10-31,1,603125,3,886-7211 Lacus. St.
1227367421,"Kelsey Bush, S.Kom., M.Cs",1,2002-10-11,1,603124,3,"549-1087 Non, Rd."
2009079758,"Ava Cohen, S.Kom., M.T",0,2000-03-28,5,603124,2,"P.O. Box 429, 4788 Donec St."
2400832629,"Sylvester Pennington, MIT",1,2000-03-12,3,603125,2,Ap #485-1159 Nunc Rd.
2103371586,"Chaim Buck, S.Kom., M.Kom",1,2001-12-14,5,603124,2,9037 Dui. St.
2256867861,"Kenneth Dennis, S.Kom., M.T",1,2002-02-14,3,603124,3,Ap #741-9757 Sed Road
2954684835,"Philip Bradshaw, MIT",1,2003-06-12,5,603125,3,"P.O. Box 197, 4121 Adipiscing. Rd."
2622157311,"Hillary Villarreal, S.T., M.Cs",1,2000-07-15,5,603125,2,"P.O. Box 546, 5961 Fermentum St."
2012645418,"Ulric Roman, S.Kom., M.Cs",1,1999-12-25,1,603125,3,8490 Mauris Av.
1851167596,"Dennis Dixon, MIT",0,2002-07-26,2,603124,2,"8112 Amet, St."
2717638618,"Medge Harper, S.Kom., M.Cs",1,2002-06-27,2,603125,3,Ap #238-2382 Integer Road
1181286180,"Linus Brooks, S.T., M.Cs",1,2003-12-03,2,603125,2,Ap #722-6533 Sit Rd.
2447633301,"Sylvia Zimmerman, S.Kom., M.Cs",0,2001-04-03,4,603125,3,182-1711 Enim Street
1568629984,"Adara Long, PHD",0,2002-04-19,3,603124,3,2245 Elit. St.
1408308915,"Neil Gaines, S.T., M.Cs",0,2001-05-07,4,603125,3,911-9740 Aliquam Street
1220646621,"Justin Castro, MIT",0,2001-01-16,2,603124,2,"P.O. Box 874, 2116 Torquent Avenue"
1671708819,"Cullen Kelley, PHD",1,2001-10-06,2,603124,1,"343-8541 Elit, Street"
1558631736,"Abigail Baxter, S.Kom., M.T",1,2000-04-03,2,603124,3,Ap #760-805 Erat Avenue
1074161448,"Patience Gomez, S.Kom., M.Cs",1,2002-02-24,3,603124,3,"P.O. Box 516, 8237 Faucibus Avenue"
2818731643,"Yeo Carlson, PHD",1,2002-08-22,4,603125,2,927-1501 Nisi. Street
1666926689,"Tucker Lee, PHD",0,2002-04-17,3,603125,2,648-1540 Nunc. Road
1207972716,"Brenda Griffith, S.T., M.Cs",1,2001-11-24,5,603125,1,"614-5698 Id, Av."
1392588134,"Helen Thornton, S.Kom., M.Cs",0,2003-07-12,2,603124,2,"P.O. Box 254, 364 Vel Avenue"
1025287737,"Gail Hill, MIT",0,2000-03-16,4,603125,2,Ap #194-2018 Vitae St.
1278869544,"Tyler Ferguson, S.Kom., M.Cs",0,2001-12-16,4,603125,1,"Ap #116-6000 Sed, Rd."
2162012032,"Dalton Robinson, S.T., M.Cs",0,2001-04-13,3,603125,3,Ap #288-9535 Interdum. Rd.
1683628353,"Margaret Johns, S.T., M.Cs",1,2001-05-23,3,603124,2,Ap #980-748 Imperdiet Rd.
1755161116,"Alexander Rodriguez, S.Kom., M.Kom",1,2002-11-18,4,603125,1,473-1437 Vel Av.
2552443555,"Stone Riley, S.Kom., M.Kom",1,2003-09-13,3,603125,1,Ap #826-7431 Laoreet Street
1825194820,"Bo Forbes, S.Kom., M.T",0,2002-10-02,1,603124,2,148-547 In Av.
1815462639,"Walker Holloway, S.Kom., M.Cs",0,2001-11-03,5,603124,1,"P.O. Box 327, 8774 Nam St."
2346829080,"Echo Lucas, PHD",0,2000-08-01,2,603125,2,Ap #769-5030 Orci Street
1892777920,"Kristen Clements, MIT",0,2001-12-25,2,603124,3,"211-8672 Non, Road"
1328314967,"Keefe Valencia, S.Kom., M.Kom",0,2003-01-26,5,603125,2,Ap #447-2878 Aliquam Avenue
1818224586,"Gavin Hoffman, MIT",1,2003-01-06,3,603125,3,784-451 Scelerisque Road
1831686585,"Eleanor Leonard, S.Kom., M.Kom",0,2002-02-16,2,603124,1,750-9998 Aliquam Ave
1132339010,"Harlan Knapp, S.T., M.Cs",0,2001-12-20,3,603125,2,330-3706 Lobortis Street
2140762865,"Steel Ratliff, S.Kom., M.Kom",1,2000-02-13,2,603124,1,Ap #931-7584 Sed Road
2972906243,"Ulysses Melton, MIT",0,2003-08-29,5,603124,3,806-5605 Semper Rd.
2591559747,"Cynthia Baxter, S.Kom., M.Cs",0,2003-03-14,1,603124,1,"Ap #936-1876 Mauris, Rd."
1420024478,"Flavia Villarreal, S.Kom., M.Cs",0,2001-03-15,3,603125,2,"P.O. Box 291, 1016 Quisque Av."
1342273865,"Quinlan Perez, MIT",0,2003-07-13,1,603125,2,4323 Habitant St.
2954843057,"Armando Kane, PHD",0,2000-09-25,1,603125,3,Ap #816-892 Nisi Rd.
1311264079,"Genevieve Pittman, S.Kom., M.Kom",0,2003-09-30,5,603125,1,Ap #318-5428 Ipsum Rd.
1143629198,"Sylvester Mcbride, S.Kom., M.Cs",1,2003-05-04,4,603125,1,Ap #774-1782 Nunc Road
1809043160,"Mark Andrews, PHD",1,2003-12-25,2,603125,3,"767-4898 Vitae, Av."
1297889518,"Piper Campbell, S.Kom., M.Kom",0,2000-12-09,2,603125,2,"P.O. Box 136, 5056 In Road"
2537157133,"Zane Hatfield, S.Kom., M.T",0,2003-08-29,1,603125,2,7072 Vulputate Av.
1250514873,"Mannix Carey, S.Kom., M.Cs",0,2003-09-25,2,603124,1,"P.O. Box 756, 2206 Sed Road"
1130945018,"Patience Mccray, S.T., M.Cs",0,2002-09-14,2,603124,3,"P.O. Box 358, 1929 Nam St."
2120373269,"Rhoda Le, S.Kom., M.T",1,2002-07-04,4,603125,2,612-3508 Lorem Av.
2460660574,"Dorothy Hurley, S.Kom., M.Kom",1,2002-09-10,3,603125,2,588-4357 Quam Road
1637962867,"William Wiggins, S.Kom., M.T",1,2003-03-09,2,603124,3,3818 Suspendisse Road
1412000597,"Angelica Carney, S.T., M.Cs",1,2001-04-28,4,603125,2,6775 Sed St.
2767482508,"Rebekah May, S.T., M.Cs",1,2000-12-04,4,603124,2,Ap #164-8484 Dui. Street
2476945583,"Jason Davidson, S.Kom., M.Cs",1,2002-03-11,2,603125,3,653-2821 Urna Road
1608112639,"Shafira Gallagher, PHD",0,2003-07-29,1,603124,2,Ap #198-7135 Vitae St.
2648878907,"Rinah Foreman, MIT",0,2003-12-30,3,603124,1,"P.O. Box 439, 3826 Orci. Av."
1718719338,"Regan Rodriquez, MIT",1,2003-11-08,2,603125,2,797-6141 Ipsum Street
1802125020,"Ignatius Wheeler, S.Kom., M.Cs",1,2003-07-30,1,603125,1,531-5794 Sem Av.
1438971246,"Nerea Daniel, S.Kom., M.Cs",0,2003-11-07,4,603124,3,6528 Adipiscing Avenue
2712746209,"Curran Stein, S.T., M.Cs",0,2001-12-20,1,603124,3,"340-3212 Ut, St."
2905389897,"Jada Ray, MIT",1,2001-11-20,5,603124,1,Ap #157-8535 Sed Av.
1269941817,"Zenia Black, S.Kom., M.Cs",0,2000-01-01,3,603124,1,6279 Vitae Avenue
1086281365,"Juliet Mathews, MIT",0,2000-10-03,2,603125,3,318-244 Cras Street
2130726569,"Angela Beck, PHD",1,2001-08-20,5,603124,1,1667 Mauris Ave
1791846317,"Evan Cash, S.Kom., M.Kom",0,2000-02-20,2,603125,3,523-2207 Molestie St.
2997064004,"Abbot Pena, S.Kom., M.Cs",0,2000-11-12,4,603124,1,"Ap #661-3040 Lorem, Rd."
2568326214,"Devin Carr, S.Kom., M.Cs",1,2002-03-01,1,603125,2,803-2456 At Street
2320584549,"Ursa Tate, S.Kom., M.Cs",1,2001-09-11,1,603125,2,Ap #502-6435 Vel St.
1982421076,"Oliver Best, PHD",0,2002-07-13,4,603124,2,"P.O. Box 203, 6153 Aliquam Avenue"
1229726085,"Damian Koch, MIT",0,2000-07-31,4,603125,2,379-7363 Consectetuer Road
2142204260,"Kieran Bullock, PHD",0,1999-12-28,3,603124,2,"Ap #290-5304 Enim, Ave"
1346438197,"Larissa Fitzgerald, S.Kom., M.T",1,2002-01-24,3,603124,3,955-3999 Mauris Road
1199768904,"Sebastian Kim, PHD",1,2002-06-10,4,603124,1,Ap #358-4930 Velit Av.
1967182444,"Yardley Bonner, S.Kom., M.T",1,2001-07-26,2,603124,1,Ap #642-742 Mollis. Street
2035367451,"Jonas Mcintyre, S.Kom., M.Cs",0,2000-12-22,3,603124,2,"379-6833 Egestas, Ave"
2966711719,"Martina Terry, S.Kom., M.Cs",0,2002-01-10,3,603124,2,791-2300 Aliquet Rd.
1522336003,"Philip Olsen, PHD",0,2001-03-17,2,603124,2,Ap #652-5258 Euismod Rd.
2051832251,"Georgia Dean, MIT",0,2003-06-27,2,603124,3,"Ap #326-1420 Quis, St."
2665253508,"Marshall Hahn, S.Kom., M.T",1,2003-06-26,4,603124,2,Ap #650-3498 Enim Avenue
1764473283,"Lucius Kane, S.Kom., M.T",0,2003-12-04,1,603124,2,Ap #202-3276 Nulla St.
2145604546,"Burke Weeks, S.T., M.Cs",0,2001-04-04,2,603125,2,"Ap #151-2967 Quam, Street"
1489575332,"Raya Herman, S.Kom., M.Kom",1,2001-03-24,3,603124,2,207-8152 Nibh Ave
1674482629,"Amery Briggs, S.Kom., M.Kom",1,2001-10-09,4,603124,3,166-4837 Nullam Rd.
1312079863,"Jamal Whitehead, S.Kom., M.Kom",0,2000-01-17,3,603125,2,Ap #878-1525 Turpis. Road
1988767162,"Talon Sykes, S.T., M.Cs",1,2003-03-11,1,603125,2,6906 Dignissim. Street
2541266098,"Carson Woodard, MIT",1,2001-11-01,2,603124,3,790-2190 Ultrices St.
1867364122,"Shellie Levy, MIT",0,2003-02-21,1,603125,2,Ap #138-7575 Primis Road
2969956001,"Elaine Jensen, S.T., M.Cs",0,2001-05-02,4,603125,3,"P.O. Box 104, 2455 Erat Av."
2549673952,"Nehru Craft, S.T., M.Cs",1,2000-01-15,4,603124,3,Ap #584-9169 Donec Ave
1540137670,"David Ruiz, S.T., M.Cs",0,2002-06-14,2,603125,2,487-8837 Ipsum Ave
1624497549,"Russell Todd, S.Kom., M.Kom",0,2001-02-15,2,603125,1,311-8839 Augue Rd.
2065128649,"Quinlan Whitney, S.Kom., M.T",1,2001-04-26,3,603124,2,Ap #215-732 Et Rd.
2298204559,"Scarlett Cervantes, PHD",0,2003-05-04,4,603125,2,"P.O. Box 187, 3756 Sit Ave"
1337191587,"Jerome Hendricks, S.Kom., M.Kom",0,2001-05-22,2,603124,1,"Ap #973-1392 Suscipit, Ave"
2732235669,"Robert Wilkins, PHD",0,2001-03-19,3,603124,1,"Ap #187-1231 Sem, Avenue"
1621480783,"Liberty Conley, PHD",0,2001-06-02,2,603125,1,310-3538 Augue Rd.
1798947789,"Timothy Petty, S.Kom., M.Kom",1,2000-11-07,3,603124,2,3939 Risus Av.
2509906974,"Martena Clemons, PHD",1,2002-06-24,1,603124,2,"P.O. Box 463, 5305 Mauris Ave"
1294695260,"Benedict Bailey, S.Kom., M.T",0,2000-12-27,2,603125,2,"P.O. Box 393, 3316 Sagittis Ave"
1715995863,"Regan Robinson, S.Kom., M.Cs",1,2001-05-18,5,603124,3,"P.O. Box 644, 5695 Pede. Road"
1145539705,"Keefe Lynn, S.Kom., M.T",0,2003-07-10,3,603124,2,"P.O. Box 384, 7701 Sem St."
1940463353,"Nola Abbott, PHD",1,2001-08-08,2,603125,1,799-9605 Nullam Rd.
2060647773,"Rina Cook, PHD",0,2001-02-17,5,603125,2,Ap #115-1179 Egestas Street
2643316656,"Lavinia O'connor, S.Kom., M.Cs",0,2001-12-30,2,603125,2,"839-1538 Nec, Ave"
2775816705,"Alexa Mccoy, S.T., M.Cs",0,2002-07-18,5,603125,3,320-8657 Donec Rd.
2255426069,"Quamar Medina, MIT",1,2000-06-08,2,603124,3,955-6020 Quisque Av.
1050486325,"Aladdin Shaw, S.T., M.Cs",0,2001-02-22,4,603125,3,8912 Lacinia Rd.
2889835289,"Signe Woodward, PHD",1,2001-11-27,3,603125,2,2656 Turpis Avenue
1478630987,"Sydnee Gibson, S.Kom., M.Kom",1,2003-11-29,4,603125,1,474-2222 Metus Ave
1225235178,"Timon Kerr, S.Kom., M.Cs",1,2002-07-21,3,603125,3,Ap #366-7458 Sagittis Ave
1639929862,"Allen Hartman, S.T., M.Cs",1,2003-12-01,4,603125,3,"P.O. Box 531, 8437 Id St."
1711324268,"James Delacruz, PHD",1,2002-10-10,5,603124,3,Ap #785-3144 Varius Rd.
2857833459,"Emery Maxwell, MIT",1,2000-01-20,5,603124,1,239-254 Metus. Street
1567972465,"Nomlanga Peters, S.T., M.Cs",0,2002-05-05,4,603125,2,Ap #474-5482 Proin Rd.
2625304545,"Lee Byers, S.Kom., M.T",1,2003-09-11,1,603125,3,502-5141 Proin Ave
2477828237,"Todd Lara, MIT",1,2000-05-26,3,603124,1,Ap #204-7194 Mus. Street
2727483211,"Carlos Oliver, S.Kom., M.T",0,2003-08-30,4,603125,1,138-5645 Dapibus Ave
1461667018,"Isadora Spears, S.Kom., M.T",0,1999-12-28,5,603125,2,634-6137 Integer Ave
1661716622,"Brock Oneal, S.Kom., M.T",0,2001-08-17,1,603124,3,Ap #345-8967 Gravida Av.
2874464698,"Ethan Brewer, S.Kom., M.Cs",1,2001-01-19,4,603125,2,"P.O. Box 396, 3532 Facilisis, Av."
2080167647,"Dora Crane, S.Kom., M.T",1,2003-12-21,2,603125,2,Ap #712-6587 Est Rd.
2769811303,"Isaac Mcintyre, S.Kom., M.Kom",0,2003-08-09,2,603124,1,"Ap #606-9191 Lorem, St."
1869358835,"Phelan Morse, PHD",1,2000-06-18,2,603125,3,Ap #251-8295 Eu Ave
2094723687,"Rachel Vaughn, PHD",1,2003-09-02,1,603124,2,727-3546 Eu St.
2986429069,"Mona Burgess, S.T., M.Cs",1,2001-05-31,3,603125,1,799-6929 Lectus. Rd.
1344099495,"Martin Mckenzie, PHD",0,2002-05-12,4,603125,3,Ap #371-5583 Cras St.
2804379379,"Fletcher Stein, S.Kom., M.T",1,2002-08-12,4,603124,3,Ap #115-9581 Enim St.
1479075569,"Claire Morse, PHD",1,2000-10-03,2,603124,2,165-6942 Turpis. Rd.
2787687934,"Katell Acosta, S.Kom., M.Cs",1,2000-09-23,4,603125,1,5486 Quam. Rd.
1387778180,"Aristotle Fischer, S.T., M.Cs",1,2001-03-29,4,603125,3,"P.O. Box 163, 6246 Arcu Rd."
2975510759,"Driscoll Johns, MIT",0,2002-11-04,3,603124,2,Ap #700-2894 Facilisis Av.
2555522343,"Basil Mccarty, MIT",0,2002-08-16,1,603125,1,136-9034 Rutrum Ave
2854171294,"Gloria Sheppard, S.Kom., M.T",1,2000-01-17,1,603125,2,"882-5884 Montes, St."
1970340110,"Judah Baxter, PHD",1,2000-10-01,2,603125,2,"P.O. Box 259, 4709 Dolor, St."
2728206622,"Lucian Hoffman, S.Kom., M.T",0,2002-11-21,3,603125,2,5803 Nam Street
1372237240,"Adrienne Cummings, S.T., M.Cs",1,2003-01-25,2,603125,1,3996 Tempus Rd.
1606269318,"Idola Andrews, S.Kom., M.Cs",1,2002-10-09,4,603124,1,"210-1312 Et, Road"
2931021390,"Zane Koch, S.Kom., M.Cs",1,2002-09-25,5,603124,2,9770 Diam Rd.
1220830482,"Edward Mack, S.Kom., M.T",0,2000-01-29,2,603124,2,"P.O. Box 485, 5050 Mattis. Av."
2282665204,"McKenzie Meyers, S.T., M.Cs",0,2001-08-25,3,603124,1,443-780 Ut Ave
2352504234,"Zia Ware, S.Kom., M.Kom",0,2003-02-20,3,603125,2,"Ap #786-1522 Aliquet, Rd."
2544953789,"Penelope Ball, MIT",0,2003-08-28,3,603124,2,Ap #744-4523 Luctus Rd.
1587478264,"Lane Castillo, S.T., M.Cs",0,2002-11-23,1,603124,2,Ap #287-9185 Nam Street
1059329047,"Alyssa Marshall, S.Kom., M.Cs",0,2000-05-28,4,603125,2,"611-5607 Dolor, Av."
1708128710,"Daniel Vaughan, PHD",1,2003-02-06,4,603125,3,Ap #502-3655 Id Avenue
2051644697,"Brenda Mcfarland, S.Kom., M.Cs",1,2000-02-28,4,603125,1,Ap #765-9994 Aliquam Avenue
2983037797,"Emi Nielsen, PHD",0,2002-08-05,4,603125,2,413-6241 Ut Av.
1818033536,"Ava Fisher, S.Kom., M.Kom",0,2001-12-15,3,603124,3,942-6964 Luctus Av.
1655344418,"Dominic Franco, PHD",0,2003-03-17,4,603125,2,Ap #946-5423 Eget Ave
1630588142,"Cullen Dejesus, S.Kom., M.Cs",0,2003-02-03,2,603125,1,6479 Sapien. St.
2064409078,"Eliana Melendez, S.Kom., M.T",0,2000-01-28,3,603124,1,886-1632 Ullamcorper Ave
1481230207,"Ashely Hall, PHD",0,2000-12-14,3,603124,2,140-2233 Viverra. Street
2941575408,"Xander Myers, MIT",0,2000-10-17,1,603125,1,"P.O. Box 183, 2522 Suspendisse St."
1083106710,"Kasper Daugherty, PHD",1,2003-03-04,2,603125,2,Ap #844-306 Porttitor St.
1496150726,"Steven Mcpherson, S.Kom., M.T",0,2003-08-05,4,603125,2,255-3350 Ac Avenue
2372726951,"Piper Dudley, S.T., M.Cs",1,2002-07-30,4,603124,2,Ap #847-6440 Integer Rd.
2307740666,"Clinton Ferrell, S.T., M.Cs",0,2003-09-03,3,603125,2,Ap #229-1867 Nam Rd.
2393669528,"Sarah Barber, MIT",0,2002-11-06,2,603124,3,7849 Amet Ave
2272691574,"Delilah Berg, S.Kom., M.T",0,2000-03-27,4,603125,1,Ap #125-8494 Cras St.
2924720857,"Leandra Vazquez, PHD",1,2003-06-17,1,603124,2,"P.O. Box 196, 2285 Vel Av."
1127729531,"Hilary Holden, S.Kom., M.Kom",0,2003-09-05,2,603124,1,550-4886 Velit. Rd.
2752198415,"Shana Carpenter, S.Kom., M.T",1,2003-05-27,3,603124,3,Ap #642-853 Erat. Ave
1726066753,"Stuart Banks, S.Kom., M.T",0,2000-03-05,1,603125,3,Ap #163-3876 Vitae St.
1833973733,"Ryder Ferrell, MIT",0,2002-03-21,2,603125,2,Ap #978-589 Feugiat Ave
2972832722,"Armando Hobbs, S.Kom., M.Kom",1,2002-01-29,3,603124,2,"806-5805 At, Rd."
2805535766,"Adena Wilkerson, PHD",1,2003-12-30,5,603125,2,806-4307 Maecenas St.
2359475894,"Indigo Gross, PHD",0,2002-03-26,3,603124,1,"P.O. Box 300, 8690 Eu St."
1900433415,"Ria Holder, PHD",1,2003-12-28,2,603124,2,Ap #505-7044 Aenean Av.
2687265947,"Laith Gilmore, PHD",0,2003-03-30,3,603124,2,Ap #410-9211 Ac Street
1033430254,"Aaron Larson, S.Kom., M.Kom",1,2001-02-01,5,603124,1,Ap #111-2045 Massa. St.
1026906530,"Ariana Hickman, PHD",1,2001-11-24,3,603124,2,Ap #739-4796 Sociosqu Rd.
1448012531,"Adele Hopkins, S.Kom., M.T",1,2000-04-04,2,603124,1,Ap #321-787 Interdum. Rd.
1296264731,"Unity Christensen, S.Kom., M.T",1,2003-01-18,3,603125,1,"P.O. Box 810, 7329 Augue, Av."
2448907941,"Chase Page, S.Kom., M.Cs",1,2001-07-12,4,603125,3,Ap #510-3635 Dui. Street
2812484245,"Sean Banks, S.Kom., M.T",0,2003-06-17,3,603125,2,122-4447 Dapibus Rd.
2837730859,"Cecilia Davenport, MIT",1,2000-10-31,2,603125,3,Ap #583-7680 Curabitur St.
1833161399,"Reese Kinney, S.T., M.Cs",1,2002-11-22,5,603124,3,3135 Eros Street
1347053193,"Travis Edwards, PHD",0,2003-11-28,4,603124,2,Ap #589-3385 Ut Ave
1819505619,"Preston Brennan, S.Kom., M.Cs",0,2003-03-08,3,603124,1,365-7641 Donec Avenue
1967388929,"Scarlet Horne, PHD",0,2002-12-06,2,603125,3,8601 Donec Road
2217200462,"Cairo Morton, S.Kom., M.Kom",1,2000-10-25,3,603125,2,880-9293 Massa Rd.
1809114112,"Richard Blevins, S.T., M.Cs",1,2000-05-01,2,603125,2,Ap #322-8135 Sit Rd.
2224371602,"Rigel Chase, PHD",0,2003-07-08,4,603125,2,Ap #625-9479 Turpis Road
2125932638,"Curran Abbott, MIT",1,2000-03-10,4,603124,2,Ap #958-9270 Non Ave
1548802756,"Basil Berger, S.Kom., M.Kom",0,2003-03-01,3,603125,2,Ap #850-3858 Ac St.
1924039805,"Clark Stuart, S.T., M.Cs",1,2001-10-01,2,603125,3,"P.O. Box 283, 2021 Ut Avenue"
1405741072,"Jarrod Cannon, S.Kom., M.Kom",1,2003-06-01,2,603124,2,327-4088 Lorem Avenue
2861535907,"Lyle Cole, S.Kom., M.Kom",1,2003-04-25,2,603125,1,Ap #323-1513 Nisl. Av.
1516171663,"Jamalia Jones, S.Kom., M.Cs",1,2003-04-30,1,603125,1,Ap #593-7001 Nisi. Street
1743485176,"Hilel Newman, PHD",0,2003-08-15,3,603125,1,675-9781 Elementum St.
2752899516,"Colleen Sears, S.Kom., M.T",0,2002-09-13,4,603124,2,"P.O. Box 465, 9389 Aliquet Rd."
1567019542,"Christine Huffman, S.Kom., M.Kom",0,2000-06-09,2,603124,1,"P.O. Box 606, 5366 Fusce Road"
1864842962,"Lucy Singleton, MIT",0,2000-03-04,4,603125,2,Ap #992-4390 Cursus Street
2186446587,"Hop Durham, PHD",1,2001-04-16,4,603124,3,1201 Ac Avenue
1912854400,"Dorothy Weber, S.Kom., M.Cs",0,2000-09-09,3,603125,1,"P.O. Box 395, 8566 Lorem, Rd."
2218749048,"Francesca Gallagher, S.Kom., M.Kom",0,2001-05-19,5,603124,2,"3950 Id, Avenue"
2742413838,"Xyla Barrett, S.T., M.Cs",0,2002-05-27,2,603124,3,739-8044 Consectetuer St.
2403215513,"Palmer Barry, MIT",1,2000-06-24,2,603125,2,513-4520 Nisl Rd.
1007896020,"Hop Kirkland, MIT",0,2000-03-20,4,603125,3,"P.O. Box 388, 7312 Ut Rd."
1184370049,"Gavin Mcgee, PHD",0,2003-03-18,5,603124,3,277-9789 Dictum Av.
1828079597,"Phyllis Conley, S.Kom., M.Cs",0,2003-03-01,4,603125,3,4247 Donec Road
2312802776,"Tobias Rush, S.T., M.Cs",1,2000-03-31,5,603124,1,Ap #393-1470 Ac Road
1469912580,"Finn Mckay, PHD",1,2002-06-16,3,603124,1,372-1568 Magnis Street
2582902866,"Reese Noel, PHD",1,2003-09-11,2,603124,2,Ap #341-7416 Arcu Avenue
1805060853,"Marah Hall, S.T., M.Cs",0,2003-07-17,3,603125,1,7982 Sit Avenue
1751370127,"Noelle Calhoun, S.Kom., M.Kom",0,2003-08-06,2,603125,2,Ap #746-9659 Varius. Avenue
1708905081,"Boris Combs, S.Kom., M.Cs",1,2003-08-20,5,603125,2,"P.O. Box 458, 7547 Sed Av."
1943357198,"Emerson Kent, S.Kom., M.Kom",0,2001-11-05,2,603125,2,"P.O. Box 965, 8849 Vel Rd."
2443566758,"Elmo Mercado, S.T., M.Cs",0,2001-11-28,3,603124,2,Ap #471-3428 Eget Av.
2341999806,"Regina Fuentes, MIT",1,2003-05-01,4,603124,1,544-9843 Nec Street
2894710233,"Lacy Gilmore, S.T., M.Cs",1,2001-11-20,4,603124,1,"Ap #820-7658 Ut, Av."
2140466587,"Renee Reese, MIT",1,2000-05-08,4,603124,3,"386 Vitae, Av."
2257574840,"Ali Estes, S.T., M.Cs",1,2002-11-26,4,603125,1,283-9276 Fringilla Rd.
2477441579,"Urielle Burch, MIT",0,2002-06-15,4,603125,2,Ap #290-8436 Pharetra. Rd.
1811267727,"Deanna Moreno, S.Kom., M.Kom",0,2002-12-16,3,603124,1,9184 Pharetra Road
2603068024,"Byron Witt, MIT",0,2000-09-09,4,603125,3,6763 In St.
1486689627,"Colton Gross, S.Kom., M.Kom",0,2001-08-21,1,603125,2,5111 Lacinia. Rd.
2574985093,"Cade Alston, S.Kom., M.Cs",0,2002-12-12,3,603125,1,"P.O. Box 984, 6066 Cum Ave"
1024438990,"Lee Michael, PHD",1,2003-11-30,3,603124,2,324-7285 Sapien. Ave
